CUT,comuna_nombre,region,region_nombre,tiene_internet_fija,total_hogares,lisa_q,lisa_label,lisa_sig,z,lag_z
1101,Iquique,1,Tarapacá,76.8,71344,1,No significativo,False,1.5275363639004815,0.07338606360978292
1107,Alto Hospicio,1,Tarapacá,60.4,42399,4,No significativo,False,0.7954392058109203,-0.040818117047481006
1401,Pozo Almonte,1,Tarapacá,38.6,5675,2,No significativo,False,-0.17771433360081348,0.4287529114716365
1402,Camiña,1,Tarapacá,5.1,489,3,Bajo-Bajo,True,-1.6731566992105882,-1.670180694502907
1403,Colchane,1,Tarapacá,2.9,353,3,Bajo-Bajo,True,-1.771364854564066,-1.4133514882300244
1404,Huara,1,Tarapacá,9.6,1039,3,No significativo,False,-1.472276381442111,-0.5106017173314329
1405,Pica,1,Tarapacá,31.2,2184,3,No significativo,False,-0.5080508561534205,-0.540786907937913
2101,Antofagasta,2,Antofagasta,78.4,135023,4,No significativo,False,1.5989604768848293,-0.2696728790681609
2102,Mejillones,2,Antofagasta,62.2,4774,1,No significativo,False,0.8757913329183113,0.5778188615617368
2103,Sierra Gorda,2,Antofagasta,29.0,487,2,No significativo,False,-0.6062590115068982,0.4776019030305742
2104,Taltal,2,Antofagasta,49.6,4129,1,No significativo,False,0.3133264431665752,0.04995002653679401
2201,Calama,2,Antofagasta,72.6,56541,4,Alto-Bajo,True,1.3400480673165693,-0.6754511209604848
2202,Ollagüe,2,Antofagasta,12.7,102,2,No significativo,False,-1.3338921625349378,0.4159986055815744
2203,San Pedro De Atacama,2,Antofagasta,6.8,3919,2,No significativo,False,-1.5972685791647192,0.7775831775648334
2301,Tocopilla,2,Antofagasta,68.3,8811,1,No significativo,False,1.1480957636711357,0.5990228951039649
2302,María Elena,2,Antofagasta,46.4,1649,1,No significativo,False,0.17047821719788017,0.34531849377414736
3101,Copiapó,3,Atacama,66.4,57356,4,No significativo,False,1.0632796295022235,-0.38231465725389213
3102,Caldera,3,Atacama,46.0,6984,4,No significativo,False,0.15262218895179339,-0.025938093509075055
3103,Tierra Amarilla,3,Atacama,26.2,3889,3,No significativo,False,-0.7312512092295063,-0.012546072324510105
3201,Chañaral,3,Atacama,17.6,4415,2,No significativo,False,-1.1151558165203737,0.29881842021662963
3202,Diego De Almagro,3,Atacama,35.1,4168,2,No significativo,False,-0.3339545807540735,0.4651026832583136
3301,Vallenar,3,Atacama,56.0,18778,4,Alto-Bajo,True,0.5990228951039649,-0.8354113739983462
3302,Alto Del Carmen,3,Atacama,4.5,1922,3,No significativo,False,-1.6999407415797185,-0.3997986849115188
3303,Freirina,3,Atacama,10.3,2736,3,No significativo,False,-1.4410283320114587,-0.5348348985225507
3304,Huasco,3,Atacama,23.2,3491,2,No significativo,False,-0.8651714210751578,0.07375806419824316
4101,La Serena,4,Coquimbo,71.2,86795,4,No significativo,False,1.2775519684552656,-0.29712652249651933
4102,Coquimbo,4,Coquimbo,68.9,90296,1,No significativo,False,1.1748798060402663,0.2359503207668654
4103,Andacollo,4,Coquimbo,22.5,4067,2,No significativo,False,-0.8964194705058097,0.1990478623916193
4104,La Higuera,4,Coquimbo,12.6,1626,3,No significativo,False,-1.3383561695964594,-0.2786008931912042
4105,Paihuano,4,Coquimbo,9.7,1870,3,No significativo,False,-1.4678123743805895,-0.8919554634442879
4106,Vicuña,4,Coquimbo,39.7,9842,3,Bajo-Bajo,True,-0.12861025592407455,-0.9633795764286355
4201,Illapel,4,Coquimbo,44.0,11593,4,No significativo,False,0.06334204772135907,-0.6857183372019847
4202,Canela,4,Coquimbo,13.1,3779,3,No significativo,False,-1.316036134288851,-0.28663610590194344
4203,Los Vilos,4,Coquimbo,44.7,8543,4,No significativo,False,0.09459009715201121,-0.48573082084581193
4204,Salamanca,4,Coquimbo,37.9,10058,3,No significativo,False,-0.2089623830314656,-0.2678872762435522
4301,Ovalle,4,Coquimbo,49.9,42363,4,Alto-Bajo,True,0.3267184643511402,-0.7922593057369696
4302,Combarbalá,4,Coquimbo,21.8,5256,3,Bajo-Bajo,True,-0.9276675199364617,-0.8283433628176036
4303,Monte Patria,4,Coquimbo,18.6,11220,3,No significativo,False,-1.0705157459051564,-0.636614259525246
4304,Punitaqui,4,Coquimbo,20.4,4463,3,No significativo,False,-0.9901636187977658,-0.7468752339448321
4305,Río Hurtado,4,Coquimbo,5.5,1882,3,No significativo,False,-1.6553006709645013,-0.647327876472898
5101,Valparaíso,5,Valparaíso,70.0,109579,1,Alto-Alto,True,1.223983883717005,0.9531674553180209
5102,Casablanca,5,Valparaíso,43.6,10603,1,Alto-Alto,True,0.045486019475272275,0.5716808518521443
5103,Concón,5,Valparaíso,75.9,18259,1,Alto-Alto,True,1.4873603003467866,1.0757788492744842
5105,Puchuncaví,5,Valparaíso,47.3,8504,1,No significativo,False,0.21065428075157555,0.7079446674050949
5107,Quintero,5,Valparaíso,59.2,13113,1,No significativo,False,0.74187112107266,0.9248954105950502
5109,Viña Del Mar,5,Valparaíso,73.5,132347,1,Alto-Alto,True,1.380224130870265,1.3817121332241058
5301,Los Andes,5,Valparaíso,72.0,23192,1,Alto-Alto,True,1.3132640249474394,0.9014593735220611
5302,Calle Larga,5,Valparaíso,62.9,5769,1,Alto-Alto,True,0.9070393823489632,1.0041315359370606
